"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Jaltocán","","","","","","","","","","","","",""
"Juárez Hidalgo","","","","","","","","","","","","",""
"Lolotla","","","","","","","","","","","","",""
"Metepec","","","","","","","","","","","","",""
"San Agustín Metzquititlán","","","","","","","","","","","","",""
"Metztitlán","","","","","","","","","","","","",""
"Mineral del Chico","","","","","","","","","","","","",""
"Mineral del Monte","","","","","","","","","","","","",""
"La Misión","","","","","","","","","","","","",""
"Mixquiahuala de Juárez","","","20.83","","","","","","25.14","","","",""
"Molango de Escamilla","","","","","","","","","","","","",""
"Nicolás Flores","","","","","","","","","","","","",""
"Nopala de Villagrán","","","","","","","","","","","","",""
"Omitlán de Juárez","","","","","","","","","","","","",""
"San Felipe Orizatlán","","","","","","","","","","","","",""
"Pacula","","","","","","","","","","","","",""
"Pachuca de Soto","","","13.9","","","","","","12.32","","","",""
"Pisaflores","","","","","","","","","","","","",""
"Progreso de Obregón","","","19.9","","","","","","30.71","","","",""
"Mineral de la Reforma","","","7.87","","","","","","8.63","","","",""
"San Agustín Tlaxiaca","","","","","","","","","","","","",""
"San Bartolo Tutotepec","","","","","","","","","","","","",""
"San Salvador","","","","","","","","","","","","",""
"Santiago de Anaya","","","","","","","","","","","","",""
"Santiago Tulantepec de Lugo Guerrero","","","20.68","","","","","","","","","",""
"Singuilucan","","","","","","","","","","","","",""
"Tasquillo","","","","","","","","","","","","",""
"Tecozautla","","","","","","","","","","","","",""
"Tenango de Doria","","","","","","","","","","","","",""
"Tepeapulco","","","13.02","","","","","","6.01","","","",""
"Tepehuacán de Guerrero","","","","","","","","","","","","",""
"Tepeji del Río de Ocampo","","","22.1","","","","","","31.94","","","",""
"Tepetitlán","","","","","","","","","","","","",""
"Tetepango","","","","","","","","","","","","",""
"Villa de Tezontepec","","","","","","","","","","","","",""
"Tezontepec de Aldama","","","","","","","","","49.33","","","",""
"Tianguistengo","","","","","","","","","","","","",""
"Tizayuca","","","12.39","","","","","","28.11","","","",""
"Tlahuelilpan","","","","","","","","","","","","",""
