"","11.1.3.Proporción de la población urbana que habita en viviendas precarias","","","","","","","","","","","",""
"Gutiérrez Zamora","","","","","","","","","","","","",""
"Hidalgotitlán","","","","","","","","","","","","",""
"Huatusco","","","26.01","","","","","","31.82","","","",""
"Huayacocotla","","","","","","","","","","","","",""
"Hueyapan de Ocampo","","","","","","","","","","","","",""
"Huiloapan de Cuauhtémoc","","","","","","","","","","","","",""
"Ignacio de la Llave","","","","","","","","","","","","",""
"Ilamatlán","","","","","","","","","","","","",""
"Isla","","","19.45","","","","","","36.12","","","",""
"Ixcatepec","","","","","","","","","","","","",""
"Ixhuacán de los Reyes","","","","","","","","","","","","",""
"Ixhuatlán del Café","","","","","","","","","","","","",""
"Ixhuatlancillo","","","","","","","","","","","","",""
"Ixhuatlán del Sureste","","","","","","","","","","","","",""
"Ixhuatlán de Madero","","","","","","","","","","","","",""
"Ixmatlahuacan","","","","","","","","","","","","",""
"Ixtaczoquitlán","","","14.55","","","","","","16.12","","","",""
"Jalacingo","","","","","","","","","","","","",""
"Xalapa","","","18.3","","","","","","24.59","","","",""
"Jalcomulco","","","","","","","","","","","","",""
"Jáltipan","","","70.38","","","","","","46.47","","","",""
"Jamapa","","","","","","","","","","","","",""
"Jesús Carranza","","","","","","","","","","","","",""
"Xico","","","45.63","","","","","","","","","",""
"Jilotepec","","","","","","","","","","","","",""
"Juan Rodríguez Clara","","","","","","","","","","","","",""
"Juchique de Ferrer","","","","","","","","","","","","",""
"Landero y Coss","","","","","","","","","","","","",""
"Lerdo de Tejada","","","23.42","","","","","","29.03","","","",""
"Magdalena","","","","","","","","","","","","",""
"Maltrata","","","","","","","","","","","","",""
"Manlio Fabio Altamirano","","","","","","","","","","","","",""
"Mariano Escobedo","","","","","","","","","","","","",""
"Martínez de la Torre","","","43.38","","","","","","56.32","","","",""
"Mecatlán","","","","","","","","","","","","",""
"Mecayapan","","","","","","","","","","","","",""
"Medellín de Bravo","","","","","","","","","","","","",""
"Miahuatlán","","","","","","","","","","","","",""
"Las Minas","","","","","","","","","","","","",""
"Minatitlán","","","25.4","","","","","","36.36","","","",""
"Misantla","","","60.95","","","","","","54.99","","","",""
"Mixtla de Altamirano","","","","","","","","","","","","",""
"Moloacán","","","","","","","","","","","","",""
"Naolinco","","","","","","","","","","","","",""
"Naranjal","","","","","","","","","","","","",""
"Nautla","","","","","","","","","","","","",""
"Nogales","","","26.54","","","","","","25.87","","","",""
"Oluta","","","","","","","","","","","","",""
"Omealca","","","","","","","","","","","","",""
"Orizaba","","","19.13","","","","","","22.52","","","",""
"Otatitlán","","","","","","","","","","","","",""
"Oteapan","","","","","","","","","","","","",""
"Ozuluama de Mascareñas","","","","","","","","","","","","",""
"Pajapan","","","","","","","","","","","","",""
"Pánuco","","","30.73","","","","","","45.22","","","",""
"Papantla","","","39.25","","","","","","57.81","","","",""
"Paso del Macho","","","","","","","","","","","","",""
"Paso de Ovejas","","","","","","","","","","","","",""
"La Perla","","","","","","","","","","","","",""
"Perote","","","33.37","","","","","","40.56","","","",""
"Platón Sánchez","","","","","","","","","","","","",""
"Playa Vicente","","","","","","","","","","","","",""
"Poza Rica de Hidalgo","","","29.04","","","","","","45.67","","","",""
"Las Vigas de Ramírez","","","","","","","","","","","","",""
"Pueblo Viejo","","","","","","","","","","","","",""
"Puente Nacional","","","","","","","","","","","","",""
"Rafael Delgado","","","","","","","","","","","","",""
"Rafael Lucio","","","","","","","","","","","","",""
"Los Reyes","","","","","","","","","","","","",""
"Río Blanco","","","29.24","","","","","","21.51","","","",""
"Saltabarranca","","","","","","","","","","","","",""
"San Andrés Tenejapan","","","","","","","","","","","","",""
"San Andrés Tuxtla","","","32","","","","","","51.02","","","",""
"San Juan Evangelista","","","","","","","","","","","","",""
"Santiago Tuxtla","","","26.78","","","","","","39.5","","","",""
"Sayula de Alemán","","","","","","","","","","","","",""
"Soconusco","","","","","","","","","","","","",""
"Sochiapa","","","","","","","","","","","","",""
"Soledad Atzompa","","","","","","","","","","","","",""
"Soledad de Doblado","","","","","","","","","","","","",""
"Soteapan","","","","","","","","","","","","",""
"Tamalín","","","","","","","","","","","","",""
"Tamiahua","","","","","","","","","","","","",""
"Tampico Alto","","","","","","","","","","","","",""
"Tancoco","","","","","","","","","","","","",""
"Tantima","","","","","","","","","","","","",""
"Tantoyuca","","","52.99","","","","","","65.26","","","",""
"Tatatila","","","","","","","","","","","","",""
"Castillo de Teayo","","","","","","","","","","","","",""
"Tecolutla","","","","","","","","","","","","",""
"Tehuipango","","","","","","","","","","","","",""
"Álamo Temapache","","","69.31","","","","","","62.88","","","",""
"Tempoal","","","","","","","","","","","","",""
"Tenampa","","","","","","","","","","","","",""
"Tenochtitlán","","","","","","","","","","","","",""
"Teocelo","","","","","","","","","","","","",""
"Tepatlaxco","","","","","","","","","","","","",""
"Tepetlán","","","","","","","","","","","","",""
"Tepetzintla","","","","","","","","","","","","",""
"Tequila","","","","","","","","","","","","",""
"José Azueta","","","","","","","","","","","","",""
"Texcatepec","","","","","","","","","","","","",""
"Texhuacán","","","","","","","","","","","","",""
"Texistepec","","","","","","","","","","","","",""
"Tezonapa","","","","","","","","","","","","",""
"Tierra Blanca","","","30.14","","","","","","34.67","","","",""
"Tihuatlán","","","","","","","","","78.07","","","",""
"Tlacojalpan","","","","","","","","","","","","",""
"Tlacolulan","","","","","","","","","","","","",""
"Tlacotalpan","","","","","","","","","","","","",""
"Tlacotepec de Mejía","","","","","","","","","","","","",""
"Tlachichilco","","","","","","","","","","","","",""
"Tlalixcoyan","","","","","","","","","","","","",""
"Tlalnelhuayocan","","","","","","","","","","","","",""
"Tlapacoyan","","","36.59","","","","","","44.6","","","",""
"Tlaquilpa","","","","","","","","","","","","",""
"Tlilapan","","","","","","","","","","","","",""
"Tomatlán","","","","","","","","","","","","",""
"Tonayán","","","","","","","","","","","","",""
"Totutla","","","","","","","","","","","","",""
"Tuxpan","","","35.42","","","","","","45.37","","","",""
"Tuxtilla","","","","","","","","","","","","",""
"Ursulo Galván","","","","","","","","","","","","",""
"Vega de Alatorre","","","","","","","","","","","","",""
"Veracruz","","","18.42","","","","","","24.89","","","",""
"Villa Aldama","","","","","","","","","","","","",""
"Xoxocotla","","","","","","","","","","","","",""
"Yanga","","","","","","","","","","","","",""
"Yecuatla","","","","","","","","","","","","",""
"Zacualpan","","","","","","","","","","","","",""
"Zaragoza","","","","","","","","","","","","",""
"Zentla","","","","","","","","","","","","",""
"Zongolica","","","","","","","","","","","","",""
"Zontecomatlán de López y Fuentes","","","","","","","","","","","","",""
"Zozocolco de Hidalgo","","","","","","","","","","","","",""
"Agua Dulce","","","59.37","","","","","","51.3","","","",""
"El Higo","","","","","","","","","","","","",""
"Nanchital de Lázaro Cárdenas del Río","","","32.59","","","","","","31.58","","","",""
"Tres Valles","","","53.31","","","","","","45.18","","","",""
"Carlos A. Carrillo","","","26.79","","","","","","22.18","","","",""
"Tatahuicapan de Juárez","","","","","","","","","","","","",""
"Uxpanapa","","","","","","","","","","","","",""
"San Rafael","","","","","","","","","","","","",""
"Santiago Sochiapan","","","","","","","","","","","","",""
"Yucatán","12.06","16.7","16.5","20.07","","","","","","","","",""
"Abalá","","","","","","","","","","","","",""
"Acanceh","","","","","","","","","","","","",""
"Akil","","","","","","","","","","","","",""
"Baca","","","","","","","","","","","","",""
"Bokobá","","","","","","","","","","","","",""
"Buctzotz","","","","","","","","","","","","",""
"Cacalchén","","","","","","","","","","","","",""
"Calotmul","","","","","","","","","","","","",""
"Cansahcab","","","","","","","","","","","","",""
"Cantamayec","","","","","","","","","","","","",""
"Celestún","","","","","","","","","","","","",""
"Cenotillo","","","","","","","","","","","","",""
"Conkal","","","","","","","","","","","","",""
"Cuncunul","","","","","","","","","","","","",""
"Cuzamá","","","","","","","","","","","","",""
"Chacsinkín","","","","","","","","","","","","",""
"Chankom","","","","","","","","","","","","",""
"Chapab","","","","","","","","","","","","",""
"Chemax","","","","","","","","","","","","",""
"Chicxulub Pueblo","","","","","","","","","","","","",""
"Chichimilá","","","","","","","","","","","","",""
"Chikindzonot","","","","","","","","","","","","",""
"Chocholá","","","","","","","","","","","","",""
"Chumayel","","","","","","","","","","","","",""
"Dzán","","","","","","","","","","","","",""
"Dzemul","","","","","","","","","","","","",""
"Dzidzantún","","","","","","","","","","","","",""
"Dzilam de Bravo","","","","","","","","","","","","",""
"Dzilam González","","","","","","","","","","","","",""
"Dzitás","","","","","","","","","","","","",""
"Dzoncauich","","","","","","","","","","","","",""
"Espita","","","","","","","","","","","","",""
"Halachó","","","","","","","","","","","","",""
"Hocabá","","","","","","","","","","","","",""
"Hoctún","","","","","","","","","","","","",""
"Homún","","","","","","","","","","","","",""
"Huhí","","","","","","","","","","","","",""
"Hunucmá","","","58.17","","","","","","83.56","","","",""
"Ixil","","","","","","","","","","","","",""
"Izamal","","","39.48","","","","","","","","","",""
"Kanasín","","","22.22","","","","","","72.15","","","",""
"Kantunil","","","","","","","","","","","","",""
"Kaua","","","","","","","","","","","","",""
"Kinchil","","","","","","","","","","","","",""
"Kopomá","","","","","","","","","","","","",""
"Mama","","","","","","","","","","","","",""
"Maní","","","","","","","","","","","","",""
"Maxcanú","","","","","","","","","","","","",""
"Mayapán","","","","","","","","","","","","",""
"Mérida","","","12.74","","","","","","19.58","","","",""
"Mocochá","","","","","","","","","","","","",""
"Motul","","","32.83","","","","","","50.6","","","",""
"Muna","","","","","","","","","","","","",""
"Muxupip","","","","","","","","","","","","",""
"Opichén","","","","","","","","","","","","",""
"Oxkutzcab","","","33.21","","","","","","48.57","","","",""
"Panabá","","","","","","","","","","","","",""
"Peto","","","45.65","","","","","","67.14","","","",""
"Progreso","","","15.1","","","","","","24.1","","","",""
"Quintana Roo","","","","","","","","","","","","",""
"Río Lagartos","","","","","","","","","","","","",""
"Sacalum","","","","","","","","","","","","",""
"Samahil","","","","","","","","","","","","",""
"Sanahcat","","","","","","","","","","","","",""
"San Felipe","","","","","","","","","","","","",""
"Santa Elena","","","","","","","","","","","","",""
"Seyé","","","","","","","","","","","","",""
"Sinanché","","","","","","","","","","","","",""
"Sotuta","","","","","","","","","","","","",""
"Sucilá","","","","","","","","","","","","",""
"Sudzal","","","","","","","","","","","","",""
"Suma","","","","","","","","","","","","",""
"Tahdziú","","","","","","","","","","","","",""
"Tahmek","","","","","","","","","","","","",""
"Teabo","","","","","","","","","","","","",""
"Tecoh","","","","","","","","","","","","",""
"Tekal de Venegas","","","","","","","","","","","","",""
"Tekantó","","","","","","","","","","","","",""
"Tekax","","","39.37","","","","","","68.86","","","",""
"Tekit","","","","","","","","","","","","",""
"Tekom","","","","","","","","","","","","",""
"Telchac Pueblo","","","","","","","","","","","","",""
"Telchac Puerto","","","","","","","","","","","","",""
"Temax","","","","","","","","","","","","",""
"Temozón","","","","","","","","","","","","",""
"Tepakán","","","","","","","","","","","","",""
"Tetiz","","","","","","","","","","","","",""
"Teya","","","","","","","","","","","","",""
"Ticul","","","38.02","","","","","","53.97","","","",""
"Timucuy","","","","","","","","","","","","",""
"Tinum","","","","","","","","","","","","",""
"Tixcacalcupul","","","","","","","","","","","","",""
"Tixkokob","","","","","","","","","","","","",""
"Tixmehuac","","","","","","","","","","","","",""
"Tixpéhual","","","","","","","","","","","","",""
"Tizimín","","","49.52","","","","","","58.96","","","",""
"Tunkás","","","","","","","","","","","","",""
"Tzucacab","","","","","","","","","","","","",""
"Uayma","","","","","","","","","","","","",""
"Ucú","","","","","","","","","","","","",""
"Umán","","","26.57","","","","","","59.53","","","",""
"Valladolid","","","28.34","","","","","","48.37","","","",""
"Xocchel","","","","","","","","","","","","",""
"Yaxcabá","","","","","","","","","","","","",""
"Yaxkukul","","","","","","","","","","","","",""
"Yobaín","","","","","","","","","","","","",""
"Zacatecas","5.68","8.17","5.3","8.04","","","","","","","","",""
"Apozol","","","","","","","","","","","","",""
"Apulco","","","","","","","","","","","","",""
"Atolinga","","","","","","","","","","","","",""
"Benito Juárez","","","","","","","","","","","","",""
"Calera","","","17.58","","","","","","17.36","","","",""
"Cañitas de Felipe Pescador","","","","","","","","","","","","",""
"Concepción del Oro","","","","","","","","","","","","",""
"Cuauhtémoc","","","","","","","","","","","","",""
"Chalchihuites","","","","","","","","","","","","",""
"Fresnillo","","","21.91","","","","","","14.53","","","",""
"Trinidad García de la Cadena","","","","","","","","","","","","",""
"Genaro Codina","","","","","","","","","","","","",""
"General Enrique Estrada","","","","","","","","","","","","",""
"General Francisco R. Murguía","","","","","","","","","","","","",""
"El Plateado de Joaquín Amaro","","","","","","","","","","","","",""
"General Pánfilo Natera","","","","","","","","","","","","",""
"Guadalupe","","","11.02","","","","","","9.7","","","",""
"Huanusco","","","","","","","","","","","","",""
"Jalpa","","","","","","","","","","","","",""
"Jerez","","","10.71","","","","","","5.42","","","",""
"Jiménez del Teul","","","","","","","","","","","","",""
"Juan Aldama","","","20.6","","","","","","","","","",""
"Juchipila","","","","","","","","","","","","",""
"Loreto","","","14.42","","","","","","28.11","","","",""
"Luis Moya","","","","","","","","","","","","",""
"Mazapil","","","","","","","","","","","","",""
"Melchor Ocampo","","","","","","","","","","","","",""
"Mezquital del Oro","","","","","","","","","","","","",""
"Miguel Auza","","","","","","","","","","","","",""
"Momax","","","","","","","","","","","","",""
"Monte Escobedo","","","","","","","","","","","","",""
"Morelos","","","","","","","","","","","","",""
"Moyahua de Estrada","","","","","","","","","","","","",""
"Nochistlán de Mejía","","","8.2","","","","","","9.17","","","",""
"Noria de Ángeles","","","","","","","","","","","","",""
"Ojocaliente","","","33.94","","","","","","21.75","","","",""
"Pánuco","","","","","","","","","","","","",""
"Pinos","","","","","","","","","","","","",""
"Río Grande","","","17.49","","","","","","24","","","",""
"Sain Alto","","","","","","","","","","","","",""
"El Salvador","","","","","","","","","","","","",""
"Sombrerete","","","23.07","","","","","","20.53","","","",""
"Susticacán","","","","","","","","","","","","",""
"Tabasco","","","","","","","","","","","","",""
"Tepechitlán","","","","","","","","","","","","",""
"Tepetongo","","","","","","","","","","","","",""
"Teúl de González Ortega","","","","","","","","","","","","",""
"Tlaltenango de Sánchez Román","","","9","","","","","","","","","",""
"Valparaíso","","","","","","","","","","","","",""
"Vetagrande","","","","","","","","","","","","",""
"Villa de Cos","","","","","","","","","","","","",""
"Villa García","","","","","","","","","","","","",""
"Villa González Ortega","","","","","","","","","","","","",""
"Villa Hidalgo","","","","","","","","","","","","",""
"Villanueva","","","","","","","","","","","","",""
"Zacatecas","","","15.1","","","","","","11.28","","","",""
"Trancoso","","","","","","","","","","","","",""
"Santa María de la Paz","","","","","","","","","","","","",""
