"","2.1.2.Proporción de la población con inseguridad alimentaria moderada o severa (carencia por acceso a la alimentación)","",""
"Temamatla","","","31"
"Temascalapa","","","33"
"Temascalcingo","","","49.3"
"Temascaltepec","","","42.5"
"Temoaya","","","38"
"Tenancingo","","","42.1"
"Tenango del Aire","","","37"
"Tenango del Valle","","","37"
"Teoloyucan","","","34.8"
"Teotihuacán","","","30"
"Tepetlaoxtoc","","","27.7"
"Tepetlixpa","","","33.1"
"Tepotzotlán","","","32"
"Tequixquiac","","","27"
"Texcaltitlán","","","39.9"
"Texcalyacac","","","19.9"
"Texcoco","","","32"
"Tezoyuca","","","31"
"Tianguistenco","","","33.9"
"Timilpan","","","40.5"
"Tlalmanalco","","","26.5"
"Tlalnepantla de Baz","","","22.6"
"Tlatlaya","","","44.5"
"Toluca","","","33.7"
"Tonatico","","","24.7"
"Tultepec","","","34.4"
"Tultitlán","","","25.4"
"Valle de Bravo","","","36.6"
"Villa de Allende","","","55.7"
"Villa del Carbón","","","42.2"
"Villa Guerrero","","","40.3"
"Villa Victoria","","","52.4"
"Xonacatlán","","","38.5"
"Zacazonapan","","","37.5"
"Zacualpan","","","45.8"
"Zinacantepec","","","42.3"
"Zumpahuacán","","","58.4"
"Zumpango","","","29.8"
"Cuautitlán Izcalli","","","20"
"Valle de Chalco Solidaridad","","","32.2"
"Luvianos","","","55.9"
"San José del Rincón","","","57"
"Tonanitla","","","34.2"
"Michoacán de Ocampo","34.7","32.2","28.8"
"Acuitzio","","","27.3"
"Aguililla","","","31.2"
"Álvaro Obregón","","","33.9"
"Angamacutiro","","","25.9"
"Angangueo","","","29.8"
"Apatzingán","","","28.7"
"Aporo","","","27.8"
"Aquila","","","46.1"
"Ario","","","29.1"
"Arteaga","","","34.2"
"Briseñas","","","21.3"
"Buenavista","","","31.4"
"Carácuaro","","","41.3"
"Coahuayana","","","39.6"
"Coalcomán de Vázquez Pallares","","","37.1"
"Coeneo","","","20.9"
"Contepec","","","36.6"
"Copándaro","","","34.5"
"Cotija","","","22.5"
"Cuitzeo","","","29.5"
"Charapan","","","30.6"
"Charo","","","26.7"
"Chavinda","","","25"
"Cherán","","","25.6"
"Chilchota","","","25.3"
"Chinicuila","","","42.6"
"Chucándiro","","","25.5"
"Churintzio","","","8.8"
"Churumuco","","","42.1"
"Ecuandureo","","","21.1"
"Epitacio Huerta","","","32.9"
"Erongarícuaro","","","27.1"
"Gabriel Zamora","","","33.5"
"Hidalgo","","","36.2"
"La Huacana","","","36.3"
"Huandacareo","","","24.4"
"Huaniqueo","","","18.6"
"Huetamo","","","30.2"
"Huiramba","","","36.1"
"Indaparapeo","","","32.5"
"Irimbo","","","30.5"
"Ixtlán","","","19.8"
"Jacona","","","26.1"
"Jiménez","","","21.9"
"Jiquilpan","","","20.6"
"Juárez","","","34"
"Jungapeo","","","28.4"
"Lagunillas","","","25.2"
"Madero","","","36.9"
"Maravatío","","","34.4"
"Marcos Castellanos","","","14.7"
"Lázaro Cárdenas","","","31.5"
"Morelia","","","25.7"
"Morelos","","","24.3"
"Múgica","","","32.7"
"Nahuatzen","","","35.4"
"Nocupétaro","","","43.3"
"Nuevo Parangaricutiro","","","25.3"
"Nuevo Urecho","","","27.5"
"Numarán","","","23.4"
"Ocampo","","","32.1"
"Pajacuarán","","","30.4"
"Panindícuaro","","","24.5"
"Parácuaro","","","27.2"
"Paracho","","","25.5"
"Pátzcuaro","","","36.3"
"Penjamillo","","","26.4"
"Peribán","","","25.2"
"La Piedad","","","24.2"
"Purépero","","","19.7"
